>> Method, Nduas, Uduas, Rduas, UduaPerc, RduaPerc, Time_s, Time_ms
@@ org.apache.commons.math3.analysis.FunctionUtils$4.value,17,2,4,11.76470588235294,23.52941176470588,0,2
@@ org.apache.commons.math3.analysis.FunctionUtils$6.value,17,2,4,11.76470588235294,23.52941176470588,0,1
@@ org.apache.commons.math3.analysis.FunctionUtils$2.value,12,2,3,16.666666666666664,25.0,0,1
@@ org.apache.commons.math3.analysis.FunctionUtils$2.value,12,2,3,16.666666666666664,25.0,0,2
@@ org.apache.commons.math3.analysis.FunctionUtils$16$2.value,28,4,7,14.285714285714285,25.0,0,3
@@ org.apache.commons.math3.analysis.FunctionUtils$6$1.value,20,2,4,10.0,20.0,0,1
@@ org.apache.commons.math3.analysis.FunctionUtils.sample,26,4,7,15.384615384615385,26.923076923076923,0,2
@@ org.apache.commons.math3.analysis.FunctionUtils$7.value,17,2,4,11.76470588235294,23.52941176470588,0,1
@@ org.apache.commons.math3.analysis.FunctionUtils$5.value,17,2,4,11.76470588235294,23.52941176470588,0,1
@@ org.apache.commons.math3.analysis.FunctionUtils$5.value,17,2,4,11.76470588235294,23.52941176470588,0,1
@@ org.apache.commons.math3.analysis.FunctionUtils$19.value,94,18,33,19.148936170212767,35.1063829787234,0,18
@@ org.apache.commons.math3.analysis.FunctionUtils$16$1.value,28,5,10,17.857142857142858,35.714285714285715,0,2
@@ org.apache.commons.math3.analysis.FunctionUtils$1.value,12,2,3,16.666666666666664,25.0,0,1
@@ org.apache.commons.math3.analysis.FunctionUtils$3.value,12,2,3,16.666666666666664,25.0,0,2
@@ org.apache.commons.math3.analysis.FunctionUtils$17.value,79,15,28,18.9873417721519,35.44303797468354,0,11
@@ org.apache.commons.math3.analysis.FunctionUtils$15.value,24,4,6,16.666666666666664,25.0,0,1
@@ org.apache.commons.math3.analysis.FunctionUtils$9$1.value,52,10,18,19.230769230769234,34.61538461538461,0,9
@@ org.apache.commons.math3.analysis.FunctionUtils$9.value,17,2,4,11.76470588235294,23.52941176470588,0,1
@@ org.apache.commons.math3.analysis.FunctionUtils$11.value,16,2,4,12.5,25.0,0,1
@@ org.apache.commons.math3.analysis.FunctionUtils$3$1.value,15,2,3,13.333333333333334,20.0,0,1
@@ org.apache.commons.math3.analysis.FunctionUtils$18$1.value,38,7,12,18.421052631578945,31.57894736842105,0,5
@@ org.apache.commons.math3.analysis.FunctionUtils$8.value,17,2,4,11.76470588235294,23.52941176470588,0,1
@@ org.apache.commons.math3.analysis.FunctionUtils$8.value,17,2,4,11.76470588235294,23.52941176470588,0,1
@@ org.apache.commons.math3.analysis.integration.MidPointIntegrator.<init>,3,2,2,66.66666666666666,66.66666666666666,0,0
@@ org.apache.commons.math3.analysis.integration.MidPointIntegrator.<init>,3,2,2,66.66666666666666,66.66666666666666,0,0
@@ org.apache.commons.math3.analysis.integration.MidPointIntegrator.stage,18,2,4,11.11111111111111,22.22222222222222,0,1
@@ org.apache.commons.math3.analysis.integration.MidPointIntegrator.doIntegrate,24,5,8,20.833333333333336,33.33333333333333,0,2
@@ org.apache.commons.math3.analysis.integration.IterativeLegendreGaussIntegrator.<init>,6,2,2,33.33333333333333,33.33333333333333,0,0
@@ org.apache.commons.math3.analysis.integration.IterativeLegendreGaussIntegrator.doIntegrate,22,3,5,13.636363636363635,22.727272727272727,0,2
@@ org.apache.commons.math3.analysis.integration.IterativeLegendreGaussIntegrator.stage,18,2,4,11.11111111111111,22.22222222222222,0,1
@@ org.apache.commons.math3.analysis.integration.TrapezoidIntegrator.<init>,3,2,2,66.66666666666666,66.66666666666666,0,1
@@ org.apache.commons.math3.analysis.integration.TrapezoidIntegrator.<init>,3,2,2,66.66666666666666,66.66666666666666,0,0
@@ org.apache.commons.math3.analysis.integration.TrapezoidIntegrator.stage,25,3,5,12.0,20.0,0,1
@@ org.apache.commons.math3.analysis.integration.TrapezoidIntegrator.doIntegrate,22,5,8,22.727272727272727,36.36363636363637,0,1
@@ org.apache.commons.math3.analysis.integration.SimpsonIntegrator.<init>,3,2,2,66.66666666666666,66.66666666666666,0,0
@@ org.apache.commons.math3.analysis.integration.SimpsonIntegrator.<init>,3,2,2,66.66666666666666,66.66666666666666,0,0
@@ org.apache.commons.math3.analysis.integration.SimpsonIntegrator.doIntegrate,30,6,9,20.0,30.0,0,2
@@ org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator.<init>,19,5,5,26.31578947368421,26.31578947368421,0,1
@@ org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator.doIntegrate,22,3,5,13.636363636363635,22.727272727272727,0,1
@@ org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator.stage,32,5,11,15.625,34.375,0,4
@@ org.apache.commons.math3.analysis.integration.RombergIntegrator.<init>,3,2,2,66.66666666666666,66.66666666666666,0,0
@@ org.apache.commons.math3.analysis.integration.RombergIntegrator.<init>,3,2,2,66.66666666666666,66.66666666666666,0,0
@@ org.apache.commons.math3.analysis.integration.RombergIntegrator.doIntegrate,37,7,11,18.91891891891892,29.72972972972973,0,3
@@ org.apache.commons.math3.analysis.integration.gauss.LegendreRuleFactory.computeRule,136,36,61,26.47058823529412,44.85294117647059,0,59
@@ org.apache.commons.math3.analysis.integration.gauss.HermiteRuleFactory.computeRule,135,36,61,26.666666666666668,45.18518518518518,0,63
@@ org.apache.commons.math3.analysis.integration.gauss.GaussIntegratorFactory.transform,14,2,4,14.285714285714285,28.57142857142857,0,0
@@ org.apache.commons.math3.analysis.integration.gauss.SymmetricGaussIntegrator.integrate,31,6,11,19.35483870967742,35.483870967741936,0,2
@@ org.apache.commons.math3.analysis.integration.gauss.GaussIntegrator.<init>,10,2,2,20.0,20.0,0,1
@@ org.apache.commons.math3.analysis.integration.gauss.GaussIntegrator.integrate,20,2,4,10.0,20.0,0,1
@@ org.apache.commons.math3.analysis.integration.gauss.LegendreHighPrecisionRuleFactory.computeRule,166,33,53,19.879518072289155,31.92771084337349,0,77
@@ org.apache.commons.math3.analysis.solvers.MullerSolver2.doSolve,118,29,53,24.576271186440678,44.91525423728814,0,37
@@ org.apache.commons.math3.analysis.solvers.BracketingNthOrderBrentSolver.<init>,6,2,2,33.33333333333333,33.33333333333333,0,0
@@ org.apache.commons.math3.analysis.solvers.BracketingNthOrderBrentSolver.<init>,6,2,2,33.33333333333333,33.33333333333333,0,0
@@ org.apache.commons.math3.analysis.solvers.BracketingNthOrderBrentSolver.<init>,6,2,2,33.33333333333333,33.33333333333333,0,0
@@ org.apache.commons.math3.analysis.solvers.BracketingNthOrderBrentSolver.doSolve,317,143,226,45.110410094637224,71.29337539432177,0,230
@@ org.apache.commons.math3.analysis.solvers.BracketingNthOrderBrentSolver.guessX,41,7,12,17.073170731707318,29.268292682926827,0,4
@@ org.apache.commons.math3.analysis.solvers.LaguerreSolver.doSolve,41,6,10,14.634146341463413,24.390243902439025,0,2
@@ org.apache.commons.math3.analysis.solvers.LaguerreSolver.laguerre,42,6,12,14.285714285714285,28.57142857142857,0,3
@@ org.apache.commons.math3.analysis.solvers.BrentSolver.doSolve,41,6,10,14.634146341463413,24.390243902439025,0,2
@@ org.apache.commons.math3.analysis.solvers.BrentSolver.brent,229,85,153,37.117903930131,66.8122270742358,0,160
@@ org.apache.commons.math3.analysis.solvers.UnivariateSolverUtils.solve,6,2,2,33.33333333333333,33.33333333333333,0,1
@@ org.apache.commons.math3.analysis.solvers.UnivariateSolverUtils.solve,7,2,2,28.57142857142857,28.57142857142857,0,0
@@ org.apache.commons.math3.analysis.solvers.UnivariateSolverUtils.forceSide,116,61,87,52.58620689655172,75.0,0,61
@@ org.apache.commons.math3.analysis.solvers.UnivariateSolverUtils.bracket,51,9,15,17.647058823529413,29.411764705882355,0,8
@@ org.apache.commons.math3.analysis.solvers.UnivariateSolverUtils.isBracketing,14,7,10,50.0,71.42857142857143,0,1
@@ org.apache.commons.math3.analysis.solvers.UnivariateSolverUtils.isSequence,8,3,4,37.5,50.0,0,1
@@ org.apache.commons.math3.analysis.solvers.UnivariateSolverUtils.verifyInterval,7,2,2,28.57142857142857,28.57142857142857,0,1
@@ org.apache.commons.math3.analysis.solvers.UnivariateSolverUtils.verifyBracketing,14,3,4,21.428571428571427,28.57142857142857,0,0
@@ org.apache.commons.math3.analysis.solvers.MullerSolver.doSolve,38,5,8,13.157894736842104,21.052631578947366,0,4
@@ org.apache.commons.math3.analysis.solvers.MullerSolver.solve,200,77,141,38.5,70.5,0,165
@@ org.apache.commons.math3.analysis.solvers.SecantSolver.doSolve,41,6,11,14.634146341463413,26.82926829268293,0,3
@@ org.apache.commons.math3.analysis.solvers.LaguerreSolver$ComplexSolver.isRoot,23,4,6,17.391304347826086,26.08695652173913,0,1
@@ org.apache.commons.math3.analysis.solvers.LaguerreSolver$ComplexSolver.solveAll,46,9,15,19.565217391304348,32.608695652173914,0,7
@@ org.apache.commons.math3.analysis.solvers.LaguerreSolver$ComplexSolver.solve,88,24,36,27.27272727272727,40.909090909090914,0,22
@@ org.apache.commons.math3.analysis.solvers.BisectionSolver.doSolve,25,4,10,16.0,40.0,0,2
@@ org.apache.commons.math3.analysis.solvers.NewtonRaphsonSolver.doSolve,13,2,4,15.384615384615385,30.76923076923077,0,1
@@ org.apache.commons.math3.analysis.solvers.RiddersSolver.doSolve,89,22,39,24.719101123595504,43.82022471910113,0,20
@@ org.apache.commons.math3.analysis.solvers.NewtonSolver.doSolve,13,2,4,15.384615384615385,30.76923076923077,0,1
@@ org.apache.commons.math3.analysis.function.HarmonicOscillator$Parametric.validateParameters,5,3,4,60.0,80.0,0,0
@@ org.apache.commons.math3.analysis.function.HarmonicOscillator.value,19,3,6,15.789473684210526,31.57894736842105,0,1
@@ org.apache.commons.math3.analysis.function.Logit$Parametric.validateParameters,5,3,4,60.0,80.0,0,0
@@ org.apache.commons.math3.analysis.function.Logit.value,14,3,5,21.428571428571427,35.714285714285715,0,0
@@ org.apache.commons.math3.analysis.function.Logit.value,56,8,15,14.285714285714285,26.785714285714285,0,2
@@ org.apache.commons.math3.analysis.function.StepFunction.<init>,17,6,10,35.294117647058826,58.82352941176471,0,1
@@ org.apache.commons.math3.analysis.function.StepFunction.value,15,3,4,20.0,26.666666666666668,0,0
@@ org.apache.commons.math3.analysis.function.Gaussian$Parametric.validateParameters,8,4,6,50.0,75.0,0,1
@@ org.apache.commons.math3.analysis.function.Sigmoid$Parametric.validateParameters,5,3,4,60.0,80.0,0,0
@@ org.apache.commons.math3.analysis.function.Logistic$Parametric.validateParameters,8,4,6,50.0,75.0,0,0
@@ org.apache.commons.math3.analysis.function.Sinc.value,9,4,5,44.44444444444444,55.55555555555556,0,0
@@ org.apache.commons.math3.analysis.function.Sinc.value,102,26,41,25.49019607843137,40.19607843137255,0,20
@@ org.apache.commons.math3.analysis.function.Gaussian.<init>,7,2,2,28.57142857142857,28.57142857142857,0,0
@@ org.apache.commons.math3.analysis.function.Gaussian.value,59,16,28,27.11864406779661,47.45762711864407,0,12
@@ org.apache.commons.math3.analysis.function.Logistic.<init>,10,2,2,20.0,20.0,0,0
@@ org.apache.commons.math3.analysis.function.Sigmoid.value,54,9,17,16.666666666666664,31.48148148148148,0,8
@@ org.apache.commons.math3.analysis.differentiation.FiniteDifferencesDifferentiator$3.value,96,21,35,21.875,36.45833333333333,0,17
@@ org.apache.commons.math3.analysis.differentiation.FiniteDifferencesDifferentiator$1.value,32,3,5,9.375,15.625,0,1
@@ org.apache.commons.math3.analysis.differentiation.DerivativeStructure.<init>,12,3,4,25.0,33.33333333333333,0,1
@@ org.apache.commons.math3.analysis.differentiation.DerivativeStructure.<init>,12,2,2,16.666666666666664,16.666666666666664,0,1
@@ org.apache.commons.math3.analysis.differentiation.DerivativeStructure.multiply,14,2,4,14.285714285714285,28.57142857142857,0,1
@@ org.apache.commons.math3.analysis.differentiation.DerivativeStructure.divide,14,2,4,14.285714285714285,28.57142857142857,0,1
@@ org.apache.commons.math3.analysis.differentiation.DerivativeStructure.negate,15,2,4,13.333333333333334,26.666666666666668,0,1
@@ org.apache.commons.math3.analysis.differentiation.DerivativeStructure.abs,6,2,2,33.33333333333333,33.33333333333333,0,0
@@ org.apache.commons.math3.analysis.differentiation.DerivativeStructure.copySign,10,6,10,60.0,100.0,0,1
@@ org.apache.commons.math3.analysis.differentiation.DerivativeStructure.copySign,10,6,10,60.0,100.0,0,1
@@ org.apache.commons.math3.analysis.differentiation.DerivativeStructure.scalb,16,2,4,12.5,25.0,0,0
@@ org.apache.commons.math3.analysis.differentiation.DerivativeStructure.hypot,36,7,14,19.444444444444446,38.88888888888889,0,2
@@ org.apache.commons.math3.analysis.differentiation.DerivativeStructure.compose,10,2,2,20.0,20.0,0,0
@@ org.apache.commons.math3.analysis.differentiation.DerivativeStructure.toDegrees,15,2,4,13.333333333333334,26.666666666666668,0,1
@@ org.apache.commons.math3.analysis.differentiation.DerivativeStructure.toRadians,15,2,4,13.333333333333334,26.666666666666668,0,1
@@ org.apache.commons.math3.analysis.differentiation.DerivativeStructure.linearCombination,39,6,10,15.384615384615385,25.64102564102564,0,2
@@ org.apache.commons.math3.analysis.differentiation.DerivativeStructure.linearCombination,28,4,7,14.285714285714285,25.0,0,2
@@ org.apache.commons.math3.analysis.differentiation.DerivativeStructure.equals,23,6,10,26.08695652173913,43.47826086956522,0,1
@@ org.apache.commons.math3.analysis.differentiation.FiniteDifferencesDifferentiator$2.value,66,15,23,22.727272727272727,34.84848484848485,0,9
@@ org.apache.commons.math3.analysis.differentiation.JacobianFunction.value,36,7,12,19.444444444444446,33.33333333333333,0,3
@@ org.apache.commons.math3.analysis.differentiation.GradientFunction.value,26,4,7,15.384615384615385,26.923076923076923,0,6
@@ org.apache.commons.math3.analysis.differentiation.FiniteDifferencesDifferentiator.<init>,27,4,6,14.814814814814813,22.22222222222222,0,1
@@ org.apache.commons.math3.analysis.differentiation.FiniteDifferencesDifferentiator.evaluate,67,11,20,16.417910447761194,29.850746268656714,0,6
@@ org.apache.commons.math3.analysis.differentiation.DSCompiler.getCompiler,99,24,38,24.242424242424242,38.38383838383838,0,26
@@ org.apache.commons.math3.analysis.differentiation.DSCompiler.compileSizes,18,3,6,16.666666666666664,33.33333333333333,0,1
@@ org.apache.commons.math3.analysis.differentiation.DSCompiler.compileDerivativesIndirection,36,6,11,16.666666666666664,30.555555555555557,0,3
@@ org.apache.commons.math3.analysis.differentiation.DSCompiler.compileLowerIndirection,22,4,7,18.181818181818183,31.818181818181817,0,3
@@ org.apache.commons.math3.analysis.differentiation.DSCompiler.compileMultiplicationIndirection,75,15,24,20.0,32.0,0,24
@@ org.apache.commons.math3.analysis.differentiation.DSCompiler.compileCompositionIndirection,160,38,60,23.75,37.5,0,127
@@ org.apache.commons.math3.analysis.differentiation.DSCompiler.getPartialDerivativeIndex,11,2,2,18.181818181818183,18.181818181818183,0,1
@@ org.apache.commons.math3.analysis.differentiation.DSCompiler.getPartialDerivativeIndex,30,6,13,20.0,43.333333333333336,0,3
@@ org.apache.commons.math3.analysis.differentiation.DSCompiler.linearCombination,16,2,4,12.5,25.0,0,0
@@ org.apache.commons.math3.analysis.differentiation.DSCompiler.linearCombination,19,2,4,10.526315789473683,21.052631578947366,0,1
@@ org.apache.commons.math3.analysis.differentiation.DSCompiler.linearCombination,22,2,4,9.090909090909092,18.181818181818183,0,1
@@ org.apache.commons.math3.analysis.differentiation.DSCompiler.add,14,2,4,14.285714285714285,28.57142857142857,0,1
@@ org.apache.commons.math3.analysis.differentiation.DSCompiler.subtract,14,2,4,14.285714285714285,28.57142857142857,0,1
@@ org.apache.commons.math3.analysis.differentiation.DSCompiler.multiply,33,4,7,12.121212121212121,21.21212121212121,0,3
@@ org.apache.commons.math3.analysis.differentiation.DSCompiler.remainder,15,2,4,13.333333333333334,26.666666666666668,0,1
@@ org.apache.commons.math3.analysis.differentiation.DSCompiler.pow,43,6,13,13.953488372093023,30.23255813953488,0,3
@@ org.apache.commons.math3.analysis.differentiation.DSCompiler.pow,35,4,7,11.428571428571429,20.0,0,3
@@ org.apache.commons.math3.analysis.differentiation.DSCompiler.pow,66,7,13,10.606060606060606,19.696969696969695,0,5
@@ org.apache.commons.math3.analysis.differentiation.DSCompiler.rootN,40,5,11,12.5,27.500000000000004,0,2
@@ org.apache.commons.math3.analysis.differentiation.DSCompiler.log,26,3,6,11.538461538461538,23.076923076923077,0,1
@@ org.apache.commons.math3.analysis.differentiation.DSCompiler.log1p,26,3,6,11.538461538461538,23.076923076923077,0,1
@@ org.apache.commons.math3.analysis.differentiation.DSCompiler.log10,26,3,6,11.538461538461538,23.076923076923077,0,1
@@ org.apache.commons.math3.analysis.differentiation.DSCompiler.cos,24,3,6,12.5,25.0,0,2
@@ org.apache.commons.math3.analysis.differentiation.DSCompiler.sin,24,3,6,12.5,25.0,0,1
@@ org.apache.commons.math3.analysis.differentiation.DSCompiler.tan,61,16,28,26.229508196721312,45.90163934426229,0,7
@@ org.apache.commons.math3.analysis.differentiation.DSCompiler.acos,67,18,30,26.865671641791046,44.776119402985074,0,13
@@ org.apache.commons.math3.analysis.differentiation.DSCompiler.asin,67,18,30,26.865671641791046,44.776119402985074,0,12
@@ org.apache.commons.math3.analysis.differentiation.DSCompiler.atan,67,18,30,26.865671641791046,44.776119402985074,0,11
@@ org.apache.commons.math3.analysis.differentiation.DSCompiler.atan2,51,6,11,11.76470588235294,21.568627450980394,0,3
@@ org.apache.commons.math3.analysis.differentiation.DSCompiler.cosh,24,3,6,12.5,25.0,0,1
@@ org.apache.commons.math3.analysis.differentiation.DSCompiler.sinh,24,3,6,12.5,25.0,0,1
@@ org.apache.commons.math3.analysis.differentiation.DSCompiler.tanh,61,16,28,26.229508196721312,45.90163934426229,0,9
@@ org.apache.commons.math3.analysis.differentiation.DSCompiler.acosh,67,18,30,26.865671641791046,44.776119402985074,0,10
@@ org.apache.commons.math3.analysis.differentiation.DSCompiler.asinh,67,18,30,26.865671641791046,44.776119402985074,0,12
@@ org.apache.commons.math3.analysis.differentiation.DSCompiler.atanh,67,18,30,26.865671641791046,44.776119402985074,0,9
@@ org.apache.commons.math3.analysis.differentiation.DSCompiler.compose,47,6,10,12.76595744680851,21.27659574468085,0,7
@@ org.apache.commons.math3.analysis.differentiation.DSCompiler.taylor,37,7,14,18.91891891891892,37.83783783783784,0,5
@@ org.apache.commons.math3.analysis.differentiation.DSCompiler.checkCompatibility,24,3,4,12.5,16.666666666666664,0,2
@@ org.apache.commons.math3.analysis.polynomials.PolynomialFunctionLagrangeForm.<init>,7,2,2,28.57142857142857,28.57142857142857,0,0
@@ org.apache.commons.math3.analysis.polynomials.PolynomialFunctionLagrangeForm.getCoefficients,7,2,3,28.57142857142857,42.857142857142854,0,0
@@ org.apache.commons.math3.analysis.polynomials.PolynomialFunctionLagrangeForm.evaluate,10,2,2,20.0,20.0,0,0
@@ org.apache.commons.math3.analysis.polynomials.PolynomialFunctionLagrangeForm.evaluateInternal,82,21,37,25.609756097560975,45.1219512195122,0,15
@@ org.apache.commons.math3.analysis.polynomials.PolynomialFunctionLagrangeForm.computeCoefficients,93,21,34,22.58064516129032,36.55913978494624,0,22
@@ org.apache.commons.math3.analysis.polynomials.PolynomialFunctionLagrangeForm.verifyInterpolationArray,13,3,4,23.076923076923077,30.76923076923077,0,0
@@ org.apache.commons.math3.analysis.polynomials.PolynomialSplineFunction.<init>,17,5,8,29.411764705882355,47.05882352941176,0,1
@@ org.apache.commons.math3.analysis.polynomials.PolynomialSplineFunction.value,41,6,13,14.634146341463413,31.70731707317073,0,1
@@ org.apache.commons.math3.analysis.polynomials.PolynomialSplineFunction.polynomialSplineDerivative,16,2,4,12.5,25.0,0,0
@@ org.apache.commons.math3.analysis.polynomials.PolynomialSplineFunction.value,41,6,13,14.634146341463413,31.70731707317073,0,1
@@ org.apache.commons.math3.analysis.polynomials.PolynomialSplineFunction.isValidPoint,14,3,4,21.428571428571427,28.57142857142857,0,0
@@ org.apache.commons.math3.analysis.polynomials.PolynomialsUtils$JacobiKey.equals,21,5,8,23.809523809523807,38.095238095238095,0,1
@@ org.apache.commons.math3.analysis.polynomials.PolynomialsUtils.createJacobiPolynomial,14,2,3,14.285714285714285,21.428571428571427,0,0
@@ org.apache.commons.math3.analysis.polynomials.PolynomialsUtils.shift,58,12,20,20.689655172413794,34.48275862068966,0,6
@@ org.apache.commons.math3.analysis.polynomials.PolynomialsUtils.buildPolynomial,22,4,6,18.181818181818183,27.27272727272727,0,1
@@ org.apache.commons.math3.analysis.polynomials.PolynomialsUtils.computeUpToDegree,35,5,9,14.285714285714285,25.71428571428571,0,4
@@ org.apache.commons.math3.analysis.polynomials.PolynomialFunction$Parametric.gradient,13,2,4,15.384615384615385,30.76923076923077,0,1
@@ org.apache.commons.math3.analysis.polynomials.PolynomialFunctionNewtonForm.value,14,2,3,14.285714285714285,21.428571428571427,0,1
@@ org.apache.commons.math3.analysis.polynomials.PolynomialFunctionNewtonForm.getCoefficients,7,2,3,28.57142857142857,42.857142857142854,0,0
@@ org.apache.commons.math3.analysis.polynomials.PolynomialFunctionNewtonForm.evaluate,13,2,3,15.384615384615385,23.076923076923077,0,1
@@ org.apache.commons.math3.analysis.polynomials.PolynomialFunctionNewtonForm.computeCoefficients,39,7,12,17.94871794871795,30.76923076923077,0,4
@@ org.apache.commons.math3.analysis.polynomials.PolynomialFunctionNewtonForm.verifyInputArray,12,4,7,33.33333333333333,58.333333333333336,0,1
@@ org.apache.commons.math3.analysis.polynomials.PolynomialFunction.<init>,19,6,13,31.57894736842105,68.42105263157895,0,1
@@ org.apache.commons.math3.analysis.polynomials.PolynomialFunction.evaluate,17,3,5,17.647058823529413,29.411764705882355,0,1
@@ org.apache.commons.math3.analysis.polynomials.PolynomialFunction.value,20,3,5,15.0,25.0,0,1
@@ org.apache.commons.math3.analysis.polynomials.PolynomialFunction.add,28,4,6,14.285714285714285,21.428571428571427,0,2
@@ org.apache.commons.math3.analysis.polynomials.PolynomialFunction.subtract,39,5,9,12.82051282051282,23.076923076923077,0,3
@@ org.apache.commons.math3.analysis.polynomials.PolynomialFunction.negate,14,2,4,14.285714285714285,28.57142857142857,0,1
@@ org.apache.commons.math3.analysis.polynomials.PolynomialFunction.multiply,35,5,9,14.285714285714285,25.71428571428571,0,4
@@ org.apache.commons.math3.analysis.polynomials.PolynomialFunction.differentiate,15,4,7,26.666666666666668,46.666666666666664,0,1
@@ org.apache.commons.math3.analysis.polynomials.PolynomialFunction.toString,67,20,35,29.850746268656714,52.23880597014925,0,14
@@ org.apache.commons.math3.analysis.polynomials.PolynomialFunction.toString,4,2,2,50.0,50.0,0,0
@@ org.apache.commons.math3.analysis.polynomials.PolynomialFunction.equals,15,4,6,26.666666666666668,40.0,0,1
